Index,text,toxicity,profanity,sexually_explicit,flirtation,identity_attack,threat,insult,severe_toxicity
143,Pepper's Lonely Hearts Club Band) by releasing the brutal Their Satanic,0.62167156,0.48895484,0.14278536,0.3099867,0.5064636,0.38201153,0.650722,0.4675926
5037,"A shocking photo, showing a young boy kneeling on a plastic crate in the street with his arms and back taped to a",0.6079832,0.32090032,0.6522458,0.51055294,0.2844779,0.80709213,0.2597029,0.5747948
5197,"Indeed, at a Princeton University seminar on Monday, the conservative justice compared homosexuality to murder when",0.54710346,0.37103212,0.21261626,0.23359856,0.8102123,0.7658759,0.5157868,0.3760133
5233,People help a man injured by a rubber bullet fired by Spanish,0.50343955,0.1737842,0.07387778,0.106768355,0.54200685,0.8496349,0.19541037,0.35026062
6102,But invariably the opposition to gay,0.5309084,0.4847962,0.300235,0.21554129,0.81845534,0.14658073,0.60374385,0.26214865
6307,"Roosevelt, then 22, was joined on the island that summer by two friends, Dick Saltonstall",0.51539487,0.6386045,0.7722222,0.44664517,0.16587645,0.17911524,0.3448452,0.40914991
7672,"So without further ado, here are a dozen Ozploitation",0.5165351,0.41331226,0.4082155,0.4665454,0.43417382,0.2240883,0.5516516,0.38321224
8303,The Ak-Chin Indian Community doesn’t recognize same-sex,0.52049243,0.26580206,0.6522458,0.36569527,0.6342086,0.12934773,0.32113752,0.27034834
11045,The deaths bring to more than a dozen the number of journalists,0.60678333,0.22364224,0.1137809,0.2493599,0.3311364,0.72239953,0.38456246,0.3921216
11103,"Kill Anything That Moves The Real American War in Vietnam by Nick Turse Paperback, 376",0.5680537,0.36743304,0.2380509,0.41601768,0.28963983,0.80709213,0.34307313,0.3787502
12154,It can be difficult to shovel your hard,0.56995046,0.55887735,0.87728983,0.8172973,0.11745471,0.36659807,0.3026526,0.40381792
13666,Breitbart Senior Editor Milo Yiannopoulos pointed out the hypocrisy of left-wing gays branding him a “self-hating homo”,0.6519473,0.55009437,0.2580834,0.31997854,0.8518058,0.31022716,0.75208443,0.41315925
14852,"Having made that point, I believe that Christian Zionism is the most harmful distortion of the Old and",0.56376743,0.23492019,0.12502682,0.22609086,0.78952146,0.3268012,0.45269802,0.4019901
15669,"Vladimir Krull, left, who was convicted in January of sexually abusing his girlfriend’s 13-year-",0.6127615,0.5049744,0.8860335,0.5518036,0.26644123,0.6693371,0.40074608,0.5219362
15927,"""These insults are not just against the prophet Muhammad, peace be upon him, but against the whole Muslim",0.5296704,0.22736053,0.09646777,0.12153974,0.751372,0.17109354,0.45192033,0.22755857
16138,MANCHESTER CITY supporters have been caught on video allegedly wrecking the toilets,0.50234026,0.27122012,0.18214396,0.4276591,0.40584964,0.48312813,0.3627506,0.30265546
21248,"The son of a Puerto Rican father and an English mother, Sanchez is a rarity as a Latino head",0.5689602,0.31615806,0.19390492,0.2993449,0.68838954,0.13464394,0.58979934,0.40218925
22679,A Perth newspaper has reported that Mr Buswell pretended to perform sexual acts on Nicholas Kailis,0.6353969,0.54835653,0.9249143,0.7774936,0.15874086,0.35019457,0.28448087,0.4415258
22813,"Lyons, a registered sexual predator in Florida",0.6293798,0.48585328,0.83839333,0.5183099,0.27035192,0.23403852,0.3887558,0.38352087
24955,"Tim Taliaferro, who took over after the sale of the magazine to Genesis Park LP, tells CJR it would be foolish to walk away",0.53212595,0.47278464,0.14436823,0.34383103,0.24186589,0.27287686,0.6285083,0.25239742
24965,This may sound like a bunch of hippy communist bull,0.72524273,0.4887991,0.11838016,0.24667266,0.6201117,0.20719022,0.76408327,0.39699584
24978,"Most migrants then head north from Greece,",0.5750236,0.21622694,0.16746867,0.36370602,0.6894879,0.265351,0.4485793,0.40273649
24989,A YOUNG woman who killed her teenage sister in a frenzied knife attack after,0.55662054,0.320577,0.24125552,0.35418084,0.31026185,0.9262451,0.233422,0.478099
25024,I know the best thing to do is to ignore it when I get put down for whatever stupid reasons others,0.7143426,0.7303003,0.052090287,0.12942524,0.092746995,0.19740117,0.7690025,0.2211475
25107,"""Demeaning people of Hispanic heritage is not just ignorant, it betrays the",0.5889459,0.32091352,0.07974647,0.1262318,0.68670464,0.13462514,0.59276253,0.28817025
25113,"The Irish Cancer Society said that by extrapolating these figures, it estimates",0.5775191,0.28320375,0.11848364,0.26159975,0.7607207,0.2898433,0.5404812,0.46461567
25135,Alan Grayson‘s rhetoric from associating Dick Cheney with Satan and attacking other conservatives to repeatedly calling,0.6079781,0.66151893,0.5655424,0.46620727,0.52418846,0.48118666,0.6361527,0.47942665
25141,"This doesn’t mean that I have to love everyone I have sex with… but I certainly would like, at least in",0.51702243,0.38542014,0.9362756,0.86873865,0.106960736,0.18859808,0.120574795,0.2533684
25148,"""The media portrayal of George as a racist",0.6113549,0.34762758,0.100625664,0.13110106,0.6342086,0.100242436,0.59276253,0.25128624
25149,Swim the warm waters of sins of the flesh – erotic nightmares,0.53559303,0.40582404,0.8688342,0.75566,0.1200269,0.13204028,0.22046696,0.26543725
